slate_id,game_id,team,opp,implied_total,spread,roof,weather_exposed,wind_mph,precip_pop
2026-w01-sun,TB@CIN,TB,CIN,23.50,,open,true,,
2026-w01-sun,TB@CIN,CIN,TB,27.00,,open,true,,
2026-w01-sun,NO@DET,NO,DET,21.25,,dome,false,,
2026-w01-sun,NO@DET,DET,NO,28.25,,dome,false,,
2026-w01-sun,CHI@CAR,CHI,CAR,25.25,,open,true,,
2026-w01-sun,CHI@CAR,CAR,CHI,22.25,,open,true,,
2026-w01-sun,BAL@IND,BAL,IND,25.50,,retractable,true,,
2026-w01-sun,BAL@IND,IND,BAL,22.00,,retractable,true,,
2026-w01-sun,ARI@LAC,ARI,LAC,19.00,9.5,dome,false,,
2026-w01-sun,ARI@LAC,LAC,ARI,28.50,-9.5,dome,false,,
2026-w01-sun,GB@MIN,GB,MIN,22.00,,dome,false,,
2026-w01-sun,GB@MIN,MIN,GB,24.50,,dome,false,,
2026-w01-sun,BUF@HOU,BUF,HOU,23.00,,retractable,true,,
2026-w01-sun,BUF@HOU,HOU,BUF,21.50,,retractable,true,,
2026-w01-sun,WAS@PHI,WAS,PHI,19.25,,open,true,,
2026-w01-sun,WAS@PHI,PHI,WAS,25.25,,open,true,,
2026-w01-sun,ATL@PIT,ATL,PIT,17.75,,open,true,,
2026-w01-sun,ATL@PIT,PIT,ATL,23.75,,open,true,,
2026-w01-sun,MIA@LV,MIA,LV,18.75,,dome,false,,
2026-w01-sun,MIA@LV,LV,MIA,21.75,,dome,false,,
2026-w01-sun,CLE@JAX,CLE,JAX,15.50,8.5,open,true,,
2026-w01-sun,CLE@JAX,JAX,CLE,24.00,-8.5,open,true,,
2026-w01-sun,NYJ@TEN,NYJ,TEN,18.50,,open,true,,
2026-w01-sun,NYJ@TEN,TEN,NYJ,20.00,,open,true,,
