slate_id,kick,away,home,away_itt,home_itt,spread_home,total,roof
2026-w02-sun,13:00,CAR,ATL,20.50,23.00,-2.5,43.50,retractable
2026-w02-sun,13:00,MIN,CHI,21.75,26.25,-4.5,48.00,open
2026-w02-sun,13:00,PHI,TEN,23.25,16.25,7,39.50,open
2026-w02-sun,13:00,PIT,NE,18.25,23.25,-5.5,41.50,open
2026-w02-sun,13:00,GB,NYJ,24.00,20.50,3.5,44.50,open
2026-w02-sun,13:00,CLE,TB,16.50,25.00,-8.5,41.50,open
2026-w02-sun,13:00,NO,BAL,19.00,27.50,-8.5,46.50,open
2026-w02-sun,13:00,CIN,HOU,21.50,24.00,-2.5,45.50,retractable
2026-w02-sun,16:05,JAX,DEN,21.50,24.00,-2.5,45.50,open
2026-w02-sun,16:05,LV,LAC,18.50,25.00,-6.5,43.50,semi_open
2026-w02-sun,16:25,WAS,DAL,23.25,27.25,-4,50.50,retractable
2026-w02-sun,16:25,SEA,ARI,22.50,18.50,4,41.00,retractable
2026-w02-sun,16:25,MIA,SF,15.75,29.25,-13.5,45.00,open
2026-w02-sun,20:20,IND,KC,20.00,26.50,-6.5,46.50,open
