slate_id,kick,away,home,away_itt,home_itt,spread_home,total,roof
2026-w01-sun,13:00,TB,CIN,23.50,27.00,,50.5,open
2026-w01-sun,13:00,NO,DET,21.25,28.25,,49.5,dome
2026-w01-sun,13:00,CHI,CAR,25.25,22.25,,47.5,open
2026-w01-sun,13:00,BAL,IND,25.50,22.00,,47.5,retractable
2026-w01-sun,16:25,ARI,LAC,19.00,28.50,-9.5,47.5,dome
2026-w01-sun,13:00,GB,MIN,22.00,24.50,,46.5,dome
2026-w01-sun,13:00,BUF,HOU,23.00,21.50,,44.5,retractable
2026-w01-sun,16:25,WAS,PHI,19.25,25.25,,44.5,open
2026-w01-sun,13:00,ATL,PIT,17.75,23.75,,41.5,open
2026-w01-sun,13:00,MIA,LV,18.75,21.75,,40.5,dome
2026-w01-sun,13:00,CLE,JAX,15.50,24.00,-8.5,39.5,open
2026-w01-sun,13:00,NYJ,TEN,18.50,20.00,,38.5,open
